category,page,index,link,brand_name,product_name,gift,price,volume,bottle_type,ingredients
로션 > 로션,4,15,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192148&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=87,오딧세이,오딧세이 챕터파이브 안티옥시던트 생츄어리 모이스처라이저,토너 30ml*2,44000,110ml,,
로션 > 로션,4,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198090&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=88,닥터자르트,닥터자르트 세라마이딘 스킨 베리어 모이스처라이징 밀키 로션,,49000,50ml,,
로션 > 로션,4,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199594&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=89,닥터자르트,닥터자르트 포어레미디 스무딩 프라이머,본품30ml+15ml 추가 증정 단품/기획,40000,30ml,,
로션 > 로션,4,18,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199825&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=90,랩시리즈,랩시리즈 데일리 레스큐 페이스 로션,,79000,50ml,,
로션 > 로션,4,19,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199834&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=91,플라스킨,플라스킨 흰두유 릴리프 단백질 로션,,25000,150ml,,
로션 > 로션,4,20,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201386&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=92,라로제,라로제 모이스춰라이징 토닉로션,,31000,200ml,,
로션 > 로션,4,21,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204158&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=93,다슈,다슈 보이 파란 수분초 로션,수분크림 50ml,23000,150ml,,
로션 > 로션,4,22,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204500&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=94,멜린앤게츠,멜린앤게츠 비타민 E 페이스 모이스쳐라이저,,79000,118ml,,
로션 > 로션,4,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204649&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=95,더후,더후 공진향 탄력 에멀젼,,77000,110ml,,
로션 > 로션,4,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206846&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=96,메디톡스,메디톡스 뉴라덤 뉴로락토 모이스처라이저,,33000,80ml,,
